trial,teacher_word,student_word,related,type
1,thanksgiving.wav,turkey.wav,Y,exp
2,astronaut.wav,space.wav,Y,exp
3,cop.wav,police.wav,Y,exp
4,nurse.wav,doctor.wav,Y,exp
5,cardboard.wav,box.wav,Y,exp
6,mustard.wav,ketchup.wav,Y,exp
7,gift.wav,present.wav,Y,exp
8,honk.wav,horn.wav,Y,exp
9,paste.wav,glue.wav,Y,exp
10,arm.wav,leg.wav,Y,exp
11,ink.wav,pen.wav,Y,exp
12,salt.wav,pepper.wav,Y,exp
13,sand.wav,beach.wav,Y,exp
14,aunt.wav,uncle.wav,Y,exp
15,king.wav,queen.wav,Y,exp
16,hammer.wav,nail.wav,Y,exp
17,toad.wav,frog.wav,Y,exp
18,crib.wav,baby.wav,Y,exp
19,husband.wav,wife.wav,Y,exp
20,mattress.wav,bed.wav,Y,exp
21,circus.wav,clown.wav,Y,exp
22,flood.wav,water.wav,Y,exp
23,father.wav,mother.wav,Y,exp
24,saddle.wav,horse.wav,Y,exp
25,sand.wav,glove.wav,N,exp
26,macaroni.wav,foot.wav,N,exp
27,mattress.wav,tree.wav,N,exp
28,honk.wav,boy.wav,N,exp
29,brother.wav,plane.wav,N,exp
30,toe.wav,car.wav,N,exp
31,king.wav,garbage.wav,N,exp
32,hammer.wav,bread.wav,N,exp
33,flood.wav,ball.wav,N,exp
34,father.wav,cheese.wav,N,exp
35,circus.wav,wind.wav,N,exp
36,thanksgiving.wav,bug.wav,N,exp
37,husband.wav,brush.wav,N,exp
38,astronaut.wav,door.wav,N,exp
39,ink.wav,bird.wav,N,exp
40,arm.wav,rain.wav,N,exp
41,aunt.wav,rabbit.wav,N,exp
42,hive.wav,sister.wav,N,exp
43,moo.wav,chair.wav,N,exp
44,table.wav,needle.wav,N,exp
45,saddle.wav,book.wav,N,exp
46,bounce.wav,bee.wav,N,exp
47,airport.wav,cat.wav,N,exp
48,gift.wav,cow.wav,N,exp
49,pail.wav,bucket.wav,Y,word_filler
50,eraser.wav,pencil.wav,Y,word_filler
51,loser.wav,winner.wav,Y,word_filler
52,town.wav,city.wav,Y,word_filler
53,jacket.wav,coat.wav,Y,word_filler
54,dial.wav,phone.wav,Y,word_filler
55,cub.wav,bear.wav,Y,word_filler
56,bubble.wav,gum.wav,Y,word_filler
57,crocodile.wav,alligator.wav,Y,word_filler
58,fudge.wav,chocolate.wav,Y,word_filler
59,circle.wav,square.wav,Y,word_filler
60,juice.wav,orange.wav,Y,word_filler
61,man.wav,woman.wav,Y,word_filler
62,lime.wav,lemon.wav,Y,word_filler
63,washer.wav,dryer.wav,Y,word_filler
64,icing.wav,cake.wav,Y,word_filler
65,thunder.wav,lightning.wav,Y,word_filler
66,cap.wav,hat.wav,Y,word_filler
67,web.wav,spider.wav,Y,word_filler
68,hen.wav,chicken.wav,Y,word_filler
69,envelope.wav,letter.wav,Y,word_filler
70,tortoise.wav,turtle.wav,Y,word_filler
71,antler.wav,deer.wav,Y,word_filler
72,film.wav,movie.wav,Y,word_filler
73,blackboard.wav,atha.wav,N,nonword
74,lollipop.wav,eeg.wav,N,nonword
75,crust.wav,oolop.wav,N,nonword
76,grape.wav,spez.wav,N,nonword
77,chimney.wav,oja.wav,N,nonword
78,broom.wav,thag.wav,N,nonword
79,owl.wav,mig.wav,N,nonword
80,spaghetti.wav,rilk.wav,N,nonword
81,flashlight.wav,pab.wav,N,nonword
82,feather.wav,zorg.wav,N,nonword
83,puzzle.wav,silzam.wav,N,nonword
84,chalk.wav,vion.wav,N,nonword
85,arrow.wav,yag.wav,N,nonword
86,banana.wav,haldo.wav,N,nonword
87,battery.wav,suling.wav,N,nonword
88,tub.wav,squaim.wav,N,nonword
89,lamp.wav,fleb.wav,N,nonword
90,barn.wav,gleebo.wav,N,nonword
91,corn.wav,ubu.wav,N,nonword
92,exit.wav,plip.wav,N,nonword
93,guitar.wav,omi.wav,N,nonword
94,mouse.wav,dooplap.wav,N,nonword
95,bowl.wav,crozzle.wav,N,nonword
96,snake.wav,klex.wav,N,nonword
97,flower.wav,wado.wav,N,nonword
98,tail.wav,spargy.wav,N,nonword
99,duck.wav,loodon.wav,N,nonword
100,dirt.wav,plab.wav,N,nonword
101,ocean.wav,dax.wav,N,nonword
102,snow.wav,razap.wav,N,nonword
103,map.wav,deeb.wav,N,nonword
104,monkey.wav,wilg.wav,N,nonword
105,candy.wav,doku.wav,N,nonword
106,football.wav,zorn.wav,N,nonword
107,planet.wav,tribib.wav,N,nonword
108,island.wav,meeki.wav,N,nonword
109,desk.wav,lalbro.wav,N,nonword
110,teacher.wav,hud.wav,N,nonword
111,camera.wav,agow.wav,N,nonword
112,sun.wav,wabbroon.wav,N,nonword
113,art.wav,jono.wav,N,nonword
114,bus.wav,geep.wav,N,nonword
115,star.wav,toma.wav,N,nonword
116,fish.wav,songle.wav,N,nonword
117,test.wav,yark.wav,N,nonword
118,rock.wav,naff.wav,N,nonword
119,hound.wav,ibi.wav,N,nonword
120,shark.wav,dowa.wav,N,nonword
